Title,Price,Rating,Image URL,Category
"2025 Gaming Laptop, Laptop with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",$579.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71vCFSaxAyL._AC_UY218_.jpg,Gaming
"Apple MacBook Air MJVM2LL/A 11.6-Inch Laptop (1.6 GHz Intel Core i5, 128 GB Hard Drive, Integrated Intel HD Graphics 6000, Mac OS X 10.10 Yosemite) (Renewed)",$265.00,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71N+DK0pEaL._AC_UY218_.jpg,Other
"jumper Laptop, 12GB RAM 640GB Storage, 5305U Processor, Office 365-1 Year, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, Type-C, WiFi-5.",$299.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81J4NJ9ZiGL._AC_UY218_.jpg,Office
NewASUS Business & Student Laptop 14 inch FHD Display Intel.Pentium N6000 Processor 4GB Memory 64GB eMMC Webcam Wi-Fi HDMI USB-C Touchpad up to 10 Hrs Long Battery Life Win 11 Home in S Mode Black,$159.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61C4kUkEqbL._AC_UY218_.jpg,Office
"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",$645.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71DHV9GZSOL._AC_UY218_.jpg,Gaming
"Acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",$140.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61s7XxkIC5L._AC_UY218_.jpg,Other
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",$199.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71dxO5qXigL._AC_UY218_.jpg,Office
"Dell Inspiron 3520 15.6"" Touchscreen i7 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",$629.00,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61W6039Mm5L._AC_UY218_.jpg,Other
"jumper Laptop Computer 14 Inch, 12GB RAM 512GB Storage, Office 365, Laptop with FHD 1920x1080 Display, Celeron N4000 CPU, 2.4G+5G WiFi, BT4.0, 35.52WH Battery, Portable Laptops.",$809.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71faMYtWT2L._AC_UY218_.jpg,Office
"ACEMAGIC 15.6 Inch Laptop with Windows 11, 16GB DDR4 RAM 512GB M.2 2280 SSD,Intel N N97 Quad-Core Processor, WiFi,Bluetooth,Webcam,Portable Laptops Computer for Office Student Business Entertainment",$339.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/7147OnrfZfL._AC_UY218_.jpg,Office
"HP 17 Laptop, 17.3"" FHD Display, 32GB RAM, 1TB SSD, AMD Ryzen 5 Processor(Beats i7-1165G7, Up to 4.3GHz), Webcam, Numeric Keypad, Long Battery Life, Windows 11 Home, Alpacatec Accessories, Silver",$509.98,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71jnYgMljgL._AC_UY218_.jpg,Other
"Acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-99DR",$949.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_UY218_.jpg,Gaming
"18.5 Inch Laptops, Laptop Computers with 32GB RAM 128GB EMMC+1024GB SSD, Windows 11 Computer, Celeron N5095 Quad-Core, WiFi 6, USB 3.2, HDMI, Type-C, Portable Notebook, 8000mAh(Pink)",$379.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71Bw-FcylSL._AC_UY218_.jpg,Other
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",$495.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_UY218_.jpg,Office
"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",,3.9 out of 5 stars,https://m.media-amazon.com/images/I/812k3mDHXjL._AC_UY218_.jpg,Other
"ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54",$382.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71P3MwynNoL._AC_UY218_.jpg,Other
"ACEMAGIC 2025 Laptop Computer with Intel Quad-Core Processor(Up to 3.4GHz), 16GB DDR4 512GB SSD, Windows 11 Gaming Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",$369.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71sbZ7peiCL._AC_UY218_.jpg,Gaming
"HP Premium Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 64GB eMMC Storage, UHD Graphics, HD Webcam, 1 Year Office 365, Bluetooth, WiFi, HDMI, Win 11s, Pink, 32GB Hotface USB Card",$309.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61PpSLdUnKL._AC_UY218_.jpg,Office
"Acer Chromebook Plus 514 Laptop with Google AI – 14"" WUXGA 1920 x 1200 IPS Touch Display | AMD Ryzen 3 7320C | 8GB LPDDR5X | 128GB eMMC | Wi-Fi 6E | FHD Camera | Chrome OS | CB514-3HT-R8RB",$299.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Md6U34jdL._AC_UY218_.jpg,Other
"Acer Chromebook 2023 Flagship Laptop Computer Thin Light, 15.6” HD Display, Dual Core Intel Celeron N4020 (Upto 2.80 GHz), 4GB RAM, 64GB eMMC, Webcam, WiFi, Long Battery, Chrome OS+HubxcelAccessory",$206.10,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71B-I2UVBZL._AC_UY218_.jpg,Other
"HP Flagship 14"" HD Laptop with 1 Year Office 365 | 16GB RAM | 1.22TB Storage(64GB EMMC & 160GB Docking Station Set & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam | Win 11s | White",$279.00,4.1 out of 5 stars,https://m.media-amazon.com/images/I/81gJcS1hkbL._AC_UY218_.jpg,Office
"[360° Adjustable Stand] Mini Projector with WiFi and Bluetooth - Electric Focus & Auto Keystone Native 1080P Portable projector, Lisowod L02 Movie Phone Projector for Phone/Laptop/HDMI/TV Sticks",$149.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51Lh21sOrkL._AC_UY218_.jpg,Other
"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",$336.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61jojpe4KVL._AC_UY218_.jpg,Other
"ASUS Zenbook Duo Laptop, Dual 14” OLED 3K 120Hz Touch Display, Intel Evo Certified, Intel Core Ultra 9 285H, Intel Arc Graphics, 32GB RAM, 1TB SSD, Windows 11, Inkwell Gray, UX8406CA-PS99T","$1,699.99",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71VUFrGHwDL._AC_UY218_.jpg,Other
"ASUS Vivobook S 14 OLED Slim Laptop, Intel Core Ultra 9 185H, 16GB, 1TB SSD, Fast Charging, RGB Keyboard, Thunderbolt 4, Neutral Black, S5406MA-AS96, Intel Evo Edition",$899.99,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61zhCE0iV1L._AC_UY218_.jpg,Other
"10.1Inch Laptop,Quad-Core Processor with Android 12.0 OS,2GB RAM,64GB EMMC,Built-in Camera, WiFi,USB Interface,Tpye-C Charging for Learning and Entertainment (Pink 2GB+64GB)",$99.99,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71yGpmUoJYL._AC_UY218_.jpg,Other
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",$699.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_UY218_.jpg,Gaming
"Acer Aspire 5 15 Slim Laptop | 15.6"" FHD 1920x1080 IPS Touch | Intel Core i5-13420H | Intel UHD Graphics | 16GB LPDDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | Protective Sleeve| A515-58PT-50UJ",$512.98,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71RkN3WRIBL._AC_UY218_.jpg,Other
"Lenovo ThinkPad E16 Gen 1 Business Laptop 16.0"" WUXGA IPS Display 300 nits (AMD Ryzen 5 7530U 6-Core 2.00GHz, 16GB RAM, 512GB PCIe SSD, AMD Radeon, Backlit KYB, FP, WiFi 6, Win11Pro) w/Dockztorm Hub",$639.98,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61PS8u04WwL._AC_UY218_.jpg,Office
"15.6-inch Windows 11 Laptop, 16GB RAM, 512GB SSD, FHD IPS Display Laptop Computer, Intel N5095 Quad Core, 2.4/5G WiFi, BT4.2 Backlit and Fingerprint, Lightweight and Portable",$249.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71jXb8VZCyL._AC_UY218_.jpg,Office
"16inch Green Laptop 16G RAM 1TB SSD Ultra-Narrow bezels 2.5K FHD(2560x1600) IPS Screen/N5095 CPU,Win 11 Pro PC with Full Size Numeric Color Backlit KB/Fingerprint(16G+1TB)",$389.90,3.1 out of 5 stars,https://m.media-amazon.com/images/I/81vXj3ynCKL._AC_UY218_.jpg,Other
"Windows 11 Slim Student Laptop: 15.6"" Full HD | 512GB SSD | 12GB DDR4 RAM | Intel Jasper Lake N5095 | Numeric Keypad | Wi-Fi 6 | AMD Radeon Graphics | Business and Fun (2024)",$199.99,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51apnXC-jKL._AC_UY218_.jpg,Office
"HP 17.3 inch Laptop, FHD Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, 17-cp2099nr (2024)",$499.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71hj6O0vZAL._AC_UY218_.jpg,Other
"2025 Laptop, Laptop Computer with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life",$349.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71a8eNpIHTL._AC_UY218_.jpg,Other
"Lenovo Yoga 7i 2-in-1 Laptop, 16"" 2K Touchscreen Display, Core Ultra 7 155U (Up to 4.80 GHz), 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Backlit KB, FP Reader, TB 4, Webcam, Keypad, PDG HDMI, Win 11 Pro",$809.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61g8sLDDvdL._AC_UY218_.jpg,Other
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$412.97,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61oAh3XrX+L._AC_UY218_.jpg,Other
"2025 Gaming Laptop with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.5GHz), 16.1“ FHD Display Laptop Computer with Backlit Keyboard, 16GB RAM 512GB SSD, WiFi 6, HDMI 1.4, USB3.2, Type-C, 53Wh Battery",$479.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/717TLzviWUL._AC_UY218_.jpg,Gaming
"Dell 2023 Inspiron 15 Business Laptop, 15.6"" 1920x1080 FHD, 12th Gen Intel i5-1235U 4.4 GHz,16G RAM, 512G SSD, Win 11 Pro, Webcam, Bluetooth, Carbon Black",$439.00,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51cSRFl4eIL._AC_UY218_.jpg,Office
"ASUS Vivobook S 16 Flip 16” WUXGA Touch Laptop, AMD Ryzen™ 7 7730U, AMD Radeon™ Vega 7 Graphics, 16GB Memory, 512GB SSD, Cool Silver, TN3604YA-AS76",$699.99,4.1 out of 5 stars,https://m.media-amazon.com/images/I/716nD6+J1dL._AC_UY218_.jpg,Other
"ASUS TUF Gaming A15 Gaming Laptop, 15.6” FHD 144Hz, 100% sRGB Display, GeForce RTX 4050, AMD Ryzen 7 7435HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6, Windows 11, FA507NUR-AS73",$799.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51pV5pxZsmL._AC_UY218_.jpg,Gaming
"Windows Laptop Computer, 14.1 Inch Quad Core Laptop Notebook Windows 11 Traditional Laptop Computers with 6GB DDR4 256GB SSD 2.4/5G WiFi BT4.0 HDMI USB 3.0, Large Battery Capacity",$209.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hBfbeZGAL._AC_UY218_.jpg,Other
"HP 17 17.3"" HD+ Laptop Computer, 12th Gen Intel 10-Core i7-1255U up to 4.7GHz, 32GB DDR4 RAM, 1TB PCIe SSD, 802.11AC WiFi, Bluetooth 5.0, Natural Silver, Windows 11 Home, Zivcul",$719.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71-DprtUHRL._AC_UY218_.jpg,Other
"15.6 Inch Full HD Laptops,Notebook Computer N4000 Processor Up 2.6GHZ,Student Laptop 8 GB RAM 256GB SSD,1920x1080 Display Laptop Computer,180 Angle Opening and Closing,WiF5,Mini HDMI,Numeric Keypad",$249.99,3.0 out of 5 stars,https://m.media-amazon.com/images/I/61FnD5DH11L._AC_UY218_.jpg,Student
"HP Elitebook 650 G10 15.6"" FHD Business Laptop Computer, 13th Gen Intel 10-Core i7-1355U, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6E, BT 5.3, Backlit KB, Fingerprint Reader, Windows 11 Pro, AZ-XUT Cable","$1,219.00",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71w16t3zfRL._AC_UY218_.jpg,Office
"ASUS Chromebook CX1, 15.6"" FHD NanoEdge Display, Intel Celeron N4500 Processor, 64GB eMMC Storage, 8GB RAM, ChromeOS, Transparent Silver, CX1500CKA-AS84F",$249.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71-4taykpML._AC_UY218_.jpg,Other
"ASUS 14"" Laptop, 14"" FHD Display, Intel Celeron N4500, 4GB Memory, 64GB eMMC, Touchpad, Webcam, HDMI, Wi-Fi, Windows 11 Home, Quiet Blue",$141.90,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61uN4jWualL._AC_UY218_.jpg,Other
"Dell Inspiron 3520 15.6"" FHD Laptop, Intel Core i7-1255U Processor, 32GB RAM, 1TB SSD, Webcam, HDMI, SD-Card Slot, Wi-Fi 6, Windows 11 Home, Black",$605.00,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71dKF4pc-6L._AC_UY218_.jpg,Other
"Microsoft Surface Laptop (2024), Windows 11 Copilot+ PC, 13.8"" Touchscreen Display, Snapdragon X Plus (10 core), 16GB RAM, 512GB SSD Storage, Black",$939.90,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61Lt0OeCFZL._AC_UY218_.jpg,Other
"jumper Laptop, 16 Inch FHD IPS 1200p Screen, 5305U Processor, Office 365 1-Year Subscription, 4GB RAM 128GB Storage, Windows 11 Computer with Stereo Speakers, 1TB SSD Slot Expansion, HDMI.",$799.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71RfQGy1KpL._AC_UY218_.jpg,Office
"2024 Laptop,17.3-Inch FHD Display Laptop Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver","$1,499.99",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71yRuOrFrdL._AC_UY218_.jpg,Other
"HP 15.6"" FHD Touchscreen Business Laptop, Intel i7-1255U, 32GB RAM, 1TB PCIe SSD, Intel Iris Xe Graphics, Num Pad, Webcam, Windows 11 Pro, Natural Silver, 32GB Hotface USB Card",,4.1 out of 5 stars,https://m.media-amazon.com/images/I/815QX9PuzHL._AC_UY218_.jpg,Office
"Dell Precision 7530 15.6"" FHD Intel Core i5-8400H 2.5GHz, 32GB RAM, 512GB SSD, Windows 11 Pro 64bit, CAM, NVIDIA Quadro P1000 4GB (Renewed)",$390.00,,https://m.media-amazon.com/images/I/711tKk+wX-L._AC_UY218_.jpg,Other
"Morostron Laptop 16-inch 8GB DDR 256GB SSD Portable Laptop,Expandable to 1TB Pentium Quad-core CPU up to2.6 GHz 9000mAh Battery Mini HDMI Interface USB3.0 Interface Dual-Band WiFi Webcam Slim laptops",$199.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/61dyQ4JhnyL._AC_UY218_.jpg,Other
"HP 2024 14"" Laptop Notebook Thin Light for Students Business, Quad-Core Intel N4120, 4GB RAM, 128GB (64GB eMMC+ 64GB Card), 1 Year Office 365, Webcam, WiFi, Windows 11S, HubxcelAccessory White",$259.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61nXgmERYNL._AC_UY218_.jpg,Office
"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Military Grade Durability, Black, E1504FA-AS33",$299.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71TfjqvF4YL._AC_UY218_.jpg,Other
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",$195.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71bwzCMcQvL._AC_UY218_.jpg,Other
"Lenovo Thinkpad E14 G6 Business Laptop 14.0"" IPS WUXGA Display (AMD Ryzen 7 7735U, 16GB DDR5, 512GB PCIe SSD, Backlit KB, Fingerprint, 2 Thunderbolt 4, WiFi 6E, Win 11 Pro) w/DKZ USB Port Expander",$639.99,4.7 out of 5 stars,https://m.media-amazon.com/images/I/71T7xJL4gSL._AC_UY218_.jpg,Office
"2025 Latest 15.6'' Laptop Windows 11, 8GB RAM 256GB SSD, Intel Quad-Core Processor N5095, 1080P FHD Display, Backlit Keyboard, Fingerprint, Webcam, USB3.2, Mini-HDMI, WiFi5, BT, TF Card Slot",$249.00,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61l52+UcCUL._AC_UY218_.jpg,Other
